#Assay	Accession	SRA Accession	Replicate	Sample ID	Yeast Target Common Name
ChIP-exo	GSM4450008	SRX8043559	rep1	12450	Sfp1
ChIP-exo	GSM4450009	SRX8043560	rep2	14619	Sfp1
ChIP-exo	GSM4450010	SRX8043561	rep1	11852	Sgf11
ChIP-exo	GSM4450011	SRX8043562	rep2	13365	Sgf11
ChIP-exo	GSM4450012	SRX8043563	rep3	13366	Sgf11
ChIP-exo	GSM4450013	SRX8043564	rep4	20607	Sgf11
ChIP-exo	GSM4450014	SRX8043565	rep1	12466	Sgf29
ChIP-exo	GSM4450015	SRX8043566	rep2	17217	Sgf29
ChIP-exo	GSM4450016	SRX8043567	rep3	19999	Sgf29
ChIP-exo	GSM4450017	SRX8042704	rep1	12459	Sgf73
ChIP-exo	GSM4450018	SRX8042705	rep2	15793	Sgf73
ChIP-exo	GSM4450019	SRX8042706	rep3	20000	Sgf73
ChIP-exo	GSM4450020	SRX8042707	rep1	14491	Sgi1
ChIP-exo	GSM4450021	SRX8042708	rep1	11827	Sgv1
ChIP-exo	GSM4450022	SRX8042709	rep2	15778	Sgv1
ChIP-exo	GSM4450023	SRX8042710	rep1	17803	Shg1
ChIP-exo	GSM4450024	SRX8042711	rep2	19313	Shg1
ChIP-exo	GSM4450025	SRX8042712	rep1	13146	Sif2
ChIP-exo	GSM4450026	SRX8042713	rep2	18489	Sif2
ChIP-exo	GSM4450027	SRX8042714	rep1	13792	Sin3
ChIP-exo	GSM4450028	SRX8042715	rep2	17856	Sin3
ChIP-exo	GSM4450029	SRX8042716	rep1	17573	Sin4
ChIP-exo	GSM4450030	SRX8042717	rep2	17861	Sin4
ChIP-exo	GSM4450031	SRX8042718	rep1	13806	Sip3
ChIP-exo	GSM4450032	SRX8042719	rep1	14845	Sip4
ChIP-exo	GSM4450033	SRX8042720	rep1	14758	Sir2
ChIP-exo	GSM4450034	SRX8042721	rep2	16039	Sir2
ChIP-exo	GSM4450035	SRX8042722	rep1	12952	Sir3
ChIP-exo	GSM4450036	SRX8042723	rep2	17882	Sir3
